"source"	"target"
"1"	"Biblias"
"2"	"Libros"
"4"	"Folletos"
"6"	"Índices"
"7"	"Periódicos"
"10"	"Tratados"
"12"	"Programas"
"13"	"Periódicos"
"14"	"Periódicos"
"17"	"Otros"
"22"	"Series"
"25"	"A/V"
"30"	"Periódicos"
"31"	"Programas"
