"source","target"
"Bibles","Bíblias"
"Books","Livros"
"Brochures","Brochuras"
"Indexes","Índices"
"Periodicals","Periodicals"
"Tracts","Folhetos"
"Programs","Programs"
"Periodicals","Periodicals"
"Periodicals","Periodicals"
"Other","Outros"
"Series","Series"
"Media","Multimédia"
"Periodicals","Periódicos"
"Programs","Programas"
