"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
":16","Morning Worship","Morning Worship","","False","","",""
":32","Children's song video","Children's song video","","False",":32","",""
":48","Commentary on the Letter of James","Commentary on the Letter of James","","False","","",""
":64","""Shepherd the Flock of God"" (ks)","""Shepherd the Flock of God"" (ks)","","False","","",""
":80","Qualified to Be Ministers","Qualified to Be Ministers","","False","","",""
