"source"	"target"
"1"	"Bibbie"
"2"	"Libri"
"4"	"Opuscoli"
"6"	"Indici"
"7"	"Periodici"
"10"	"Volantini"
"12"	"Programmi"
"13"	"Periodici"
"14"	"Periodici"
"17"	"Altro"
"22"	"Serie"
"25"	"Multimedia"
"30"	"Periodici"
"31"	"Programmi"
