"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
":16","Morning Worship","Culte matinal","","False","","",""
":32","Children's song video","Vidéo de chanson pour enfants","","False",":32","",""
":48","Commentary on the Letter of James","Commentaire sur la lettre de Jacques","","False","","",""
":64","""Shepherd the Flock of God"" (ks)","« Paître le troupeau de Dieu » (ks)","","False","","",""
":80","Qualified to Be Ministers","Qualifiés pour le ministère","","False","","",""
